      No     Day     Mon    Year  Qobs_0009304070  Qsim_0009304070
     546      29       6    1956        5.4200000        4.8292018
     547      30       6    1956        5.4200000        5.1785694
     548       1       7    1956        5.0100000        5.0359119
     549       2       7    1956        4.8100000        4.7494618
     550       3       7    1956        5.0100000        4.5788707
     551       4       7    1956        5.0100000        4.8685219
     552       5       7    1956        4.8100000        4.7620274
     553       6       7    1956        4.4200000        4.5802149
     554       7       7    1956        4.2500000        4.3035305
     555       8       7    1956        4.2500000        4.1222699
     556       9       7    1956        4.2500000        3.9538120
     557      10       7    1956        4.4200000        3.8035734
     558      11       7    1956        5.4200000        4.0833394
     559      12       7    1956        6.3000000        5.6270956
     560      13       7    1956        5.4200000        5.8776693
     561      14       7    1956        5.0100000        5.5778327
     562      15       7    1956       23.3000000        8.9177983
     563      16       7    1956       39.4000000       15.9364127
     564      17       7    1956       21.5000000       28.0401332
     565      18       7    1956       12.8000000       29.1412726
     566      19       7    1956        9.4700000       18.5795533
     567      20       7    1956       35.2000000       15.0817117
     568      21       7    1956       36.9000000       20.0193839
     569      22       7    1956       18.3000000       26.8809607
     570      23       7    1956       13.0000000       23.6201486
     571      24       7    1956       17.7000000       14.7875563
     572      25       7    1956       25.1000000       12.7554129
     573      26       7    1956       15.5000000       16.8593145
     574      27       7    1956       12.2000000       16.5797597
     575      28       7    1956       10.4000000       11.2989153
     576      29       7    1956        9.9600000        8.5903957
     577      30       7    1956        9.2200000        7.8816271
     578      31       7    1956        8.4900000        7.5994362
     579       1       8    1956        8.0000000        7.1774178
     580       2       8    1956        8.0000000        6.8032883
     581       3       8    1956        8.2500000        6.7666994
     582       4       8    1956        8.9800000        7.6099497
     583       5       8    1956        8.7400000        8.3925135
     584       6       8    1956        8.2500000        8.1397217
     585       7       8    1956        8.2500000        7.7737713
     586       8       8    1956        7.5100000        7.4368547
     587       9       8    1956        6.5400000        7.0612019
     588      10       8    1956        6.3000000        6.6809713
     589      11       8    1956        6.3000000        6.3657908
     590      12       8    1956        6.3000000        6.0875329
     591      13       8    1956        6.0700000        5.8401860
     592      14       8    1956        5.8500000        5.6193325
     593      15       8    1956        5.8500000        5.4211483
     594      16       8    1956        5.6300000        5.2431843
     595      17       8    1956        5.6300000        5.0829473
     596      18       8    1956        5.4200000        4.9360734
     597      19       8    1956        5.2100000        4.8013372
     598      20       8    1956        5.0100000        4.6782694
     599      21       8    1956        5.2100000        4.5754999
     600      22       8    1956        5.4200000        4.4842430
